"Protein-coding genes:"
  external_gene_name   gene_biotype
416                PDF protein_coding
417              TERF2 protein_coding
418            TXNDC15 protein_coding
419            TPD52L2 protein_coding
420              ATOX1 protein_coding
421               NXF1 protein_coding
422             MCOLN1 protein_coding
424            MACROD2 protein_coding
425             FAM89A protein_coding
426               NPM1 protein_coding
427              HERC5 protein_coding
428             FAM43A protein_coding
429            BHLHE40 protein_coding
430              EDEM1 protein_coding
431              ZNF48 protein_coding
432             PPP1CA protein_coding
433           TBC1D10C protein_coding
434               RFC2 protein_coding
435              DMRT2 protein_coding
436               SVIL protein_coding
437               SMG5 protein_coding
438             TMEM79 protein_coding
439                TUB protein_coding
440              OSCAR protein_coding
441               DCPS protein_coding
442              CNOT3 protein_coding
443              MEX3A protein_coding
444               LEF1 protein_coding
445              MYOM2 protein_coding
446              MED11 protein_coding
447            ZMYND15 protein_coding
448              TPD52 protein_coding
449             FAM83F protein_coding
450             ELOVL6 protein_coding
451             KIF16B protein_coding
452              CCND2 protein_coding
453               SORD protein_coding
454               PRR5 protein_coding
455              NOP14 protein_coding
456             SUCLG2 protein_coding
457              PLCD1 protein_coding
458             GIGYF1 protein_coding
459               BNC1 protein_coding
460             LSM14A protein_coding
461           STAMBPL1 protein_coding
462              WWTR1 protein_coding
463              LRIG1 protein_coding
464              WDR25 protein_coding
465           SLC39A13 protein_coding
466              ASXL1 protein_coding
467             ANTXR2 protein_coding
468            ARHGEF3 protein_coding
469              PACS2 protein_coding
470              KIFC2 protein_coding
471            SLC43A1 protein_coding
472               MTA1 protein_coding
473             IL17RE protein_coding
474               ING5 protein_coding
475            COL14A1 protein_coding
476              LRIT1 protein_coding
477             ZNF331 protein_coding
478             COMMD3 protein_coding
479              NMUR1 protein_coding
480              VASH1 protein_coding
481             HNRNPR protein_coding
483              AFAP1 protein_coding
484              PRMT1 protein_coding
485            CNTNAP1 protein_coding
486              PTHLH protein_coding
487              VPS25 protein_coding
488               IRF1 protein_coding
489             SPINT1 protein_coding
490              ZFP64 protein_coding
491              FNDC8 protein_coding
492              PTPRN protein_coding
493            SERINC4 protein_coding
494              ABCA2 protein_coding
495             MPPED2 protein_coding
496               MICA protein_coding
497               CDH1 protein_coding
498               MIIP protein_coding
499            TNFRSF8 protein_coding
500               RPS6 protein_coding
501             FAHD2A protein_coding
502             MAD1L1 protein_coding
503            S100PBP protein_coding
504            NOSTRIN protein_coding
505             TGOLN2 protein_coding
506            HSD17B8 protein_coding
507              VPS52 protein_coding
508                BSG protein_coding
509               BDH1 protein_coding
510              RPS18 protein_coding
511            FAM181B protein_coding
512             RNF208 protein_coding
513              WDR46 protein_coding
514             RBM12B protein_coding
515               ZXDC protein_coding
516               ARSG protein_coding
517           B4GALNT4 protein_coding
518            SYNGAP1 protein_coding
 [ reached 'max' / getOption("max.print") -- omitted 533 rows ]

"Non-coding genes:"
     external_gene_name                       gene_biotype
1               MIR24-2                              miRNA
2                MIR27A                              miRNA
3                MIR23A                              miRNA
21              SPATA13                             lncRNA
155             SNORD30                             snoRNA
169              MIR7-2                              miRNA
171               HYMAI                             lncRNA
190              MIR938                              miRNA
232               DLEU2                             lncRNA
272             SNORD81                             snoRNA
273             SNORD29                             snoRNA
287            FLJ13224                             lncRNA
298               SNHG4                             lncRNA
340              GHRLOS                             lncRNA
346              MIR611                              miRNA
408           C14orf178                             lncRNA
423             SNORD22                             snoRNA
482             SNORD93                             snoRNA
612             SNORD79                             snoRNA
659             SNORD72                             snoRNA
697             MIR548N                              miRNA
728            RNU6ATAC                              snRNA
738            SNORD45A                             snoRNA
787              MIR142                              miRNA
822             SNORD99                             snoRNA
823             SNORA61                             snoRNA
850              MIR558                              miRNA
900            MIR129-2                              miRNA
928              MIR339                              miRNA
932            ALOX12P2 transcribed_unprocessed_pseudogene
982            ALOX12P2                             lncRNA
990            FLJ36000                             lncRNA
1020              SNHG1                             lncRNA
1028             MALAT1                             lncRNA
1064               GAS5                             lncRNA
1069             SNHG12                             lncRNA
